Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C6,4.7uF,C_0603_HandSoldering,18.2,29.046,180,bottom
C7,1uF,C_0603_HandSoldering,13.528,25.4235,90,bottom
C17,10uF,C_0603_HandSoldering,21.7195,23.3915,270,bottom
C18,1pF,C_0603_HandSoldering,14.356,18.8195,0,bottom
C19,33uF,C_0805_HandSoldering,15.179,23.221,270,bottom
C20,1uF,C_0603_HandSoldering,12.9565,27.9635,0,bottom
D8,1N5819WS,D_SOD-323,4.35,32.726,0,bottom
D9,1N5819WS,D_SOD-323,9.244,32.726,0,bottom
D10,PGB1010402KR,D_0402_1005Metric,26.7995,31.329,180,bottom
D11,PGB1010402KR,D_0402_1005Metric,28.401501,31.329,0,bottom
J4,Conn_01x02_Female,JST_PH_B2B-PH-SM4-TB_1x02_P2.00mm_Vertical,18.25,33.5,180,bottom
L1,2.2uH,L_0805_HandSoldering,17.639,26.503,180,bottom
Q1,DMG2305,SOT-23,26.5,27.25,180,bottom
Q2,BSS138,SOT-23,5.4,35.377,270,bottom
Q3,BSS138,SOT-23,10.353,35.377,270,bottom
R1,100,R_0603_HandSoldering,40.833,35.276,90,bottom
R2,100,R_0603_HandSoldering,43.5635,35.2625,90,bottom
R6,2k,R_0402_1005Metric,24.45,25.614,0,bottom
R12,100k,R_0603_HandSoldering,21.232,20.153,0,bottom
R13,130k,R_0603_HandSoldering,18.2905,18.799,90,bottom
R14,178k,R_0603_HandSoldering,16.83,18.799,270,bottom
R15,1Meg,R_0603_HandSoldering,14.206,20.2165,180,bottom
R16,220,R_0603_HandSoldering,4.3,25.6775,0,bottom
R17,220,R_0603_HandSoldering,4.257,23.201,0,bottom
R18,220,R_0603_HandSoldering,4.3,20.661,0,bottom
R19,220,R_0603_HandSoldering,4.3,18.1845,0,bottom
R20,220,R_0603_HandSoldering,4.3,15.6445,0,bottom
R21,220,R_0603_HandSoldering,4.3,13.168,0,bottom
R22,220,R_0603_HandSoldering,3.241,4.997,90,bottom
R23,220,R_0603_HandSoldering,5.781,4.956,90,bottom
R24,220,R_0603_HandSoldering,8.194,4.913,90,bottom
R25,220,R_0603_HandSoldering,10.734,4.913,90,bottom
R26,220,R_0603_HandSoldering,16.7665,4.956,90,bottom
R27,220,R_0603_HandSoldering,19.243,4.956,90,bottom
R28,220,R_0603_HandSoldering,21.783,4.956,90,bottom
R29,220,R_0603_HandSoldering,24.2595,4.913,90,bottom
R30,220,R_0603_HandSoldering,26.7995,4.956,90,bottom
U1,MCP73831T-2ACI_OT,SOT-753,22.498,27.58,90,bottom
U2,LP5907MFX-3.0/NOPB,SOT-23-5,11.049,25.3395,90,bottom
U4,TPS63000,VSON-10-1EP_3x3mm_P0.5mm_EP1.65x2.4mm_ThermalVias,18.5445,23.0885,270,bottom
